Length in m,Hip height in m,Body mass in kg
3.000,0.920,83.000
0.500,0.150,0.110
0.185,0.070,0.018
5.300,1.550,360.000
1.000,0.300,1.300
9.200,2.550,1700.000
1.000,0.280,1.300
8.500,2.400,600.000
1.800,0.700,15.000
8.400,2.550,1900.000
3.350,1.000,71.000
10.000,2.800,1500.000
1.500,0.410,4.700
11.300,2.800,3700.000
3.100,0.980,90.000
12.000,3.100,4200.000
4.500,1.250,220.000
16.000,,7500.000
6.700,1.650,640.000
12.000,3.250,4500.000
4.800,1.300,265.000
13.200,3.850,8500.000
5.200,1.900,400.000
10.000,2.500,1750.000
0.900,0.330,1.100
12.900,3.600,5200.000
4.100,1.250,170.000
9.000,3.000,3300.000
1.800,0.550,15.000
12.300,3.750,8500.000
6.300,2.000,750.000
12.000,4.400,7000.000
1.200,0.350,2.500
2.900,0.950,34.000
0.500,0.190,0.185
9.000,3.100,4500.000
2.650,0.600,37.000
8.900,3.500,2700.000
0.750,0.400,1.800
6.200,1.500,340.000
0.460,0.125,0.175
5.800,1.900,530.000
1.800,0.490,11.800
5.400,1.650,380.000
0.300,0.150,0.100
1.650,0.750,21.000
0.175,0.090,0.060
0.800,0.350,7.250
0.066,0.029,0.004
1.800,1.300,120.000
0.120,0.040,0.058
1.600,,30.000
0.560,,1.300
1.200,0.700,6.000
0.095,0.070,0.018
0.270,0.100,0.055
0.550,0.210,0.445
0.900,0.270,0.630
3.000,0.920,83.000
0.185,0.070,0.018
5.300,1.550,360.000
0.910,0.260,1.100
10.000,2.800,2300.000
0.250,0.140,0.220
10.700,2.750,3000.000
0.530,0.200,0.420
12.600,3.600,6400.000
0.140,0.070,0.039
13.000,3.750,7000.000
0.066,0.029,0.004
12.700,3.750,7800.000
0.007,0.033,0.006
13.200,3.850,8500.000
0.114,0.040,0.022
12.300,3.750,8500.000
12.300,3.750,8500.000
9.200,2.500,2500.000
0.114,0.050,0.022
0.330,0.143,0.490
13.200,3.950,8500.000
13.300,,5000.000
0.066,0.029,0.004
0.095,0.070,0.018
11.700,3.100,4000.000
6.800,1.750,750.000
0.244,0.107,0.200
0.087,0.043,0.001
13.000,3.600,7000.000
12.700,3.750,7800.000
1.200,0.350,2.500
1.700,0.550,8.800
11.200,3.250,5000.000
6.100,1.650,690.000
0.220,0.185,0.415
0.263,0.115,0.250
10.500,2.600,3000.000
7.500,2.300,1370.000
1.300,0.380,2.000
0.200,0.089,0.119
9.500,2.650,2000.000
7.700,2.000,780.000
0.234,0.102,0.175
0.190,0.090,0.040
